127.0.0.1 - - [18/Jan/2018:12:25:57 +0530] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [18/Jan/2018:12:26:45 +0530] "OPTIONS /portalmiddleware/authenticate HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jan/2018:12:26:50 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 171
0:0:0:0:0:0:0:1 - - [18/Jan/2018:12:26:55 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [18/Jan/2018:12:26:58 +0530] "GET /portalmiddleware/blogDescription?blogId=1 HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [18/Jan/2018:12:39:52 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [18/Jan/2018:12:42:30 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [18/Jan/2018:12:42:50 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [18/Jan/2018:12:43:51 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [18/Jan/2018:12:43:53 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [18/Jan/2018:12:44:04 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [18/Jan/2018:13:02:41 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [18/Jan/2018:13:05:14 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [18/Jan/2018:13:05:40 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [18/Jan/2018:13:05:43 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [18/Jan/2018:13:05:52 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [18/Jan/2018:13:06:30 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [18/Jan/2018:13:07:05 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [18/Jan/2018:13:07:17 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [18/Jan/2018:13:07:19 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [18/Jan/2018:13:08:36 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [18/Jan/2018:13:08:48 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [18/Jan/2018:13:08:59 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [18/Jan/2018:13:09:06 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [18/Jan/2018:13:09:48 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 404 1047
